product_name	volume_ml	weight
First Aid Beauty Coconut Skin Smoothie Priming Moisturiser	123	129.15
Avène Rich Revitalizing Nourishing Cream 50ml	50	52.5
REN Clean Skincare Evercalm Global Protection Day Cream	206	216.3
Fade Out ADVANCED + Age Protection Even Skin Tone Day Cream SPF 25 50ml	50	52.5
Bulldog Protective Moisturiser 100ml	100	105.0
Alpha-H Daily Essential Moisturiser Spf50+ (50ml)	50	52.5
Pai Skincare Chamomile and Rosehip Calming Day Cream 50ml	50	52.5
Estée Lauder DayWear Anti-Oxidant 72H-Hydration Sorbet Creme SPF 15 50ml	50	52.5
Liz Earle Skin Repair Light	138	144.9
Elemis Peptide4 Plumping Pillow Facial	227	238.35
Murad Oil and Pore Control Mattifier SPF45 PA 50ml	50	52.5
Clinique for Men Anti-Age Moisturiser 100ml	100	105.0
AMELIORATE Transforming Body Cream 225ml	225	236.25
JASON Age Renewal Vitamin E 25,000iu Cream (120g)	120	126.0
Clinique Smart SPF 15 Custom Repair Moisturiser - Dry to Combination Skin - 50ml	50	52.5
Mama Mio The Tummy Rub Butter 120ml - Lavender and Mint	120	126.0
Neal's Yard Remedies Vitamin E and Avocado Night Cream 50g	50	52.5
First Aid Beauty Ultra Repair Face Moisturiser (50ml)	50	52.5
Bioderma Hydrabio Gel Cream 40ml	40	42.0
Estée Lauder NightWear Plus Anti-Oxidant Night Detox Crème 50ml	50	52.5
The Ordinary 10% Agireline Solution 30ml	30	31.5
The Ordinary Buffet Supersize Serum 60ml	60	63.0
The Ordinary 100% Pycnogenol 5% 15ml	15	15.75
Medik8 C-Tetra Serum 30ml	30	31.5
Estée Lauder Advanced Night Repair Synchronized Recovery Complex II 30ml	30	31.5
Estée Lauder Advanced Night Repair Synchronized Recovery Complex II 50ml	50	52.5
The Ordinary Hyaluronic Acid 2% + B5 Supersize Serum 60ml	60	63.0
The Ordinary Marine Hyaluronics 30ml	30	31.5
Avene Hydrance Intense Serum 30ml	30	31.5
VICHY Minéral 89 Hyaluronic Acid Hydration Booster 50ml	50	52.5
La Roche-Posay Pure Vitamin C10 Serum 30ml	30	31.5
PIXI Overnight Glow Serum	72	75.6
Clinique Even Better Clinical Radical Dark Spot Corrector + Interrupter 50ml	50	52.5
Medik8 Hydr8 B5 Serum 30ml	30	31.5
NIP+FAB Dragons Blood Fix Serum 50ml	50	52.5
By Terry Cellularose CC Serum 30ml (Various Shades)	30	31.5
NIP+FAB Salicylic Fix Serum Extreme 2% 50ml	50	52.5
NIOD Multi-Molecular Hyaluronic Complex 15ml	15	15.75
Medik8 Crystal Retinal 6	220	231.0
PIXI Collagen and Retinol Serum 30ml	30	31.5
Elizabeth Arden Ceramide Capsules Advanced (90 Capsules)	271	284.55
Elizabeth Arden Retinol Ceramide Capsules Line Erasing Night Serum - 30 Pieces (Sleeved Version)	249	261.45
Tan-Luxe Super Glow Body Hyaluronic Self-Tan Serum 150ml	150	157.5
La Roche-Posay Rosaliac AR Intense Serum 40ml	40	42.0
La Roche-Posay Toleriane Ultra Cream	243	255.15
Clinique Even Better Clinical Radical Dark Spot Corrector + Interrupter 30ml	30	31.5
Elizabeth Arden Retinol Ceramide Capsules Line Erasing Night Serum - 60 Pieces (Sleeved Version)	176	184.8
VICHY Minéral 89 Hyaluronic Acid Hydration Booster 75ml	75	78.75
PIXI Glow Tonic Serum 30ml	30	31.5
DECLÉOR Aromessence Neroli Amara Serum 15ml	15	15.75
The Ordinary Amino Acids + B5	40	42.0
Lancôme Advanced Génifique Eye and Lash Serum - Light Pearl 20ml	20	21.0
REN Clean Skincare Radiance Perfection Serum	208	218.4
Sanctuary Spa Hyaluronic Wonder Oil Serum 30ml	30	31.5
La Roche-Posay Hydraphase Intense Serum (30ml)	30	31.5
L'Oréal Paris Hydra Genius Liquid Care Moisturiser Combination Skin 70ml	70	73.5
bareMinerals SkinLongevity Vital Power Infusion Serum 50ml	50	52.5
REN Clean Skincare Evercalm Anti-Redness Serum	172	180.6
Elizabeth Arden Advanced Ceramide Capsules Daily Youth Restoring Eye Serum (60 Pack)	234	245.7
Estée Lauder Perfectionist Pro Multi-Defense Aqua UV Gel SPF 50 with 8 Anti-Oxidants	227	238.35
NIP+FAB Retinol Fix Serum Extreme 50ml	50	52.5
Origins Plantscription Anti-Aging Power Serum 50ml	50	52.5
Estée Lauder Perfectionist Pro Rapid Brightening Treatment with Ferment2+ Vitamin C 50ml	50	52.5
Peter Thomas Roth Retinol Fusion PM 30ml	30	31.5
Elizabeth Arden Skin Illuminating Advanced Brightening Night Capsules (50 Capsules)	137	143.85
Caudalie VineActiv Glow Activating Anti-Wrinkle Serum 30ml	30	31.5
Sukin Super Greens Recovery Serum 30ml	30	31.5
Pai Skincare Back to Life Hydration Serum 30ml	30	31.5
OSKIA Super 16 Serum (30ml)	30	31.5
La Roche-Posay Pigmentclar Serum 30ml	30	31.5
Clinique Repairwear Laser Focus Smooths, Restores, Refines 50ml	50	52.5
DECLÉOR Aromessence Green Mandarin Essential Oil Serum 15ml	15	15.75
DECLÉOR Organic Aromessence Rose d'Orient Soothing Comfort Oil Serum	280	294.0
Lancôme Advanced Génifique Youth Activating Serum 30ml	30	31.5
Lancôme Advanced Génifique Youth Activating Serum 50ml	50	52.5
Lancôme Advanced Génifique Youth Activating Serum 75ml	75	78.75
Lancôme Advanced Génifique Youth Activating Serum 115ml	115	120.75
COSRX AC Collection Blemish Spot Clearing Serum 40ml	40	42.0
Holika Holika 3 Seconds Starter (Hyaluronic Acid)	95	99.75
Dermalogica AGE Bright Clearing Serum 30ml	30	31.5
Dr. Hauschka Night Serum 20ml	20	21.0
Elizabeth Arden SuperStart Skin Renewal Booster 50ml	50	52.5
Lancôme Génifique Double Drop Serum 20ml	20	21.0
SkinCeuticals Discoloration Defense Corrective Serum 30ml	30	31.5
Aurelia Probiotic Skincare Revitalise & Glow Serum 30ml	30	31.5
Estée Lauder Idealist Pore Minimizing Skin Refinisher 30ml	30	31.5
Estée Lauder Perfectionist [CP+R] Wrinkle Lifting/Firming Serum 30ml	30	31.5
DECLÉOR Aromessence Magnolia Youthful Oil Serum 15ml 0.5oz	15	15.75
Murad Retinol Youth Renewal Serum Travel Size	61	64.05
